,Text,Cause,Effect
"(1, 1, 1, 1541)","Waves traveling through a medium lose some energy to the medium. However, when an electromagnetic wave travels through space, no energy is lost, so the wave doesnt get weaker as it travels. However, the energy is ""diluted"" as it spreads out over an ever-larger area as it travels away from the source.",", when an electromagnetic wave travels through space , no energy is lost",the wave doesnt get weaker as it travels .
"(0, 1491)","Myopia is corrected with a concave lens, which curves inward like the inside of a bowl. The lens changes the focus, so images fall on the retina as they should. Generally, nearsightedness first occurs in school-age children.",The lens changes the focus,images fall on the retina as they should .
"(7, 30)","Earth was so hot for three reasons: Gravitational contraction: As small bodies of rock and metal accreted, the planet grew larger and more massive. Gravity within such an enormous body squeezes the material in its interior so hard that the pressure swells. As Earths internal pressure grew, its temperature also rose.",Gravity within such an enormous body squeezes the material in its interior so hard,the pressure swells .
"(1, 1, 1, 1630)","He speculated that atoms of liquids are slippery, which allows them to slide over each other and liquids to flow. Atoms of solids, in contrast, stick together, so they cannot move apart. Differences in the weight of matter, he argued, could be explained by the closeness of atoms.","Atoms of solids , in contrast , stick together",they can not move apart .
"(3, 1, 1, 2751)","This system is based on the temperature, the amount of precipitation, and the times of year when precipitation occurs. Since climate determines the type of vegetation that grows in an area, vegetation is used as an indicator of climate type. ",climate determines the type of vegetation that grows in an area,vegetation is used as an indicator of climate type .
"(3, 1, 1, 2071)",Gravity causes abrasion as a rock tumbles down a slope. Moving water causes abrasion it moves rocks so that they bump against one another (Figure 9.3). Strong winds cause abrasion by blasting sand against rock surfaces.,Moving water causes abrasion it moves rocks,they bump against one
"(9, 3170)",The force of gravity between the Sun and planets is also very large. This is because the Sun and the planets are very large objects. Gravity is great enough to hold the planets to the Sun even though the distances between them are enormous.,the Sun and the planets are very large objects .,The force of gravity between the Sun and planets is also very large
"(1, 1, 1, 2306)","Together with other substances, it can form plaque, and lead to atherosclerosis. If a clot forms and blocks a narrowed artery, a heart attack or stroke can result. Cholesterol comes from the food you eat as well as being made by the body.",a clot forms,a heart attack or stroke can result .
"(3, 1, 1, 365)","H2 O Like equations in math, equations in chemistry must balance. There must be the same number of each type of atom in the products as there is in the reactants. In equation 1, count the number of hydrogen and oxygen atoms on each side of the arrow.",there is in the reactants .,There must be the same number of each type of atom in the products
"(1, 1, 1, 1477)","For example, if a bird eats a caterpillar, then the bird gets the energy that the caterpillar gets from the plants it eats. So the bird indirectly gets energy that began with the glucose formed through photosynthesis. Therefore, the process of photosynthesis is central to sustaining life on Earth.","For example , if a bird eats a caterpillar , then the bird gets the energy that the caterpillar gets from the plants it eats",the bird indirectly gets energy that began with the glucose formed through photosynthesis .
"(3, 1, 1, 411)","In other words, his velocity is zero. However, Cody will gain momentum as he starts moving down the ramp and picks up speed. Q:",he starts moving down the ramp and picks up speed .,"However , Cody will gain momentum"
"(3, 1, 1, 2079)","Acids flow from some mine sites, changing the composition of nearby waterways (Figure 1.1). U.S. law has changed in recent decades so that a mine region must be restored to its natural state, a process called reclamation. This is not true of older mines.",U.S. law has changed in recent decades,"a mine region must be restored to its natural state , a process called reclamation ."
"(1, 1, 1, 2030)","Hydrocarbons are generally nonpolar, which means that their molecules do not have oppositely charged sides. Therefore, they do not dissolve in water, which is a polar compound. In fact, hydrocarbons tend to repel water.","Hydrocarbons are generally nonpolar , which means that their molecules do not have oppositely charged sides","they do not dissolve in water , which is a polar compound ."
"(3, 3123)","While there had always been a lot of births, the population grew because the death rate fell. It fell for several reasons: 1. New farm machines were invented.",1 . New farm machines were invented,It fell
